,name,artists,gene
0,Graves Into Gardens (Remix) (feat. ELEVATION RHYTHM),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3YCKuqpv9nCsIhJ2v8SMix'}, 'href': 'https://api.spotify.com/v1/artists/3YCKuqpv9nCsIhJ2v8SMix', 'id': '3YCKuqpv9nCsIhJ2v8SMix', 'name': 'Elevation Worship', 'type': 'artist', 'uri': 'spotify:artist:3YCKuqpv9nCsIhJ2v8SMix'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0qZ8aSF0iMCQI99AAXikF8'}, 'href': 'https://api.spotify.com/v1/artists/0qZ8aSF0iMCQI99AAXikF8', 'id': '0qZ8aSF0iMCQI99AAXikF8', 'name': 'ELEVATION RHYTHM', 'type': 'artist', 'uri': 'spotify:artist:0qZ8aSF0iMCQI99AAXikF8'}]",HPFE
1,Burn Again,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6yuXGldP2yeZ8GFNrZdlSC'}, 'href': 'https://api.spotify.com/v1/artists/6yuXGldP2yeZ8GFNrZdlSC', 'id': '6yuXGldP2yeZ8GFNrZdlSC', 'name': 'Ecclesia', 'type': 'artist', 'uri': 'spotify:artist:6yuXGldP2yeZ8GFNrZdlSC'}]",HNFE
2,Feels Like Church,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4mkGZGaUTIpyG1LnZ6nNIi'}, 'href': 'https://api.spotify.com/v1/artists/4mkGZGaUTIpyG1LnZ6nNIi', 'id': '4mkGZGaUTIpyG1LnZ6nNIi', 'name': 'Peter CottonTale', 'type': 'artist', 'uri': 'spotify:artist:4mkGZGaUTIpyG1LnZ6nNIi'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5BZU9FuwmQoyYg3OQMMiv9'}, 'href': 'https://api.spotify.com/v1/artists/5BZU9FuwmQoyYg3OQMMiv9', 'id': '5BZU9FuwmQoyYg3OQMMiv9', 'name': 'Tiff Joy', 'type': 'artist', 'uri': 'spotify:artist:5BZU9FuwmQoyYg3OQMMiv9'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4akybxRTGHJZ1DXjLhJ1qu'}, 'href': 'https://api.spotify.com/v1/artists/4akybxRTGHJZ1DXjLhJ1qu', 'id': '4akybxRTGHJZ1DXjLhJ1qu', 'name': 'Kirk Franklin', 'type': 'artist', 'uri': 'spotify:artist:4akybxRTGHJZ1DXjLhJ1qu'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1TpXFTRji6OtOrX061RT9F'}, 'href': 'https://api.spotify.com/v1/artists/1TpXFTRji6OtOrX061RT9F', 'id': '1TpXFTRji6OtOrX061RT9F', 'name': 'New Direction', 'type': 'artist', 'uri': 'spotify:artist:1TpXFTRji6OtOrX061RT9F'}]",HPSE
3,Funny Feeling,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7yUqjhujjMXv4QHq59Q9wR'}, 'href': 'https://api.spotify.com/v1/artists/7yUqjhujjMXv4QHq59Q9wR', 'id': '7yUqjhujjMXv4QHq59Q9wR', 'name': 'Trulah', 'type': 'artist', 'uri': 'spotify:artist:7yUqjhujjMXv4QHq59Q9wR'}]",LPSA
4,Family,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0xDQejb43c7yJ5nfCA7jv5'}, 'href': 'https://api.spotify.com/v1/artists/0xDQejb43c7yJ5nfCA7jv5', 'id': '0xDQejb43c7yJ5nfCA7jv5', 'name': 'Beach Chapel', 'type': 'artist', 'uri': 'spotify:artist:0xDQejb43c7yJ5nfCA7jv5'}]",HPFE
5,Under Your Wings,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/47MKNB3zJLyXyFKsT5fSFm'}, 'href': 'https://api.spotify.com/v1/artists/47MKNB3zJLyXyFKsT5fSFm', 'id': '47MKNB3zJLyXyFKsT5fSFm', 'name': 'Freddie Fardon', 'type': 'artist', 'uri': 'spotify:artist:47MKNB3zJLyXyFKsT5fSFm'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3W0Poyb7XtusSN8aBcZxS1'}, 'href': 'https://api.spotify.com/v1/artists/3W0Poyb7XtusSN8aBcZxS1', 'id': '3W0Poyb7XtusSN8aBcZxS1', 'name': 'Darla Baltazar', 'type': 'artist', 'uri': 'spotify:artist:3W0Poyb7XtusSN8aBcZxS1'}]",LPSA
6,Alright,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2Q1d40J0u4IWGg4oZNPBZ7'}, 'href': 'https://api.spotify.com/v1/artists/2Q1d40J0u4IWGg4oZNPBZ7', 'id': '2Q1d40J0u4IWGg4oZNPBZ7', 'name': 'Jonathan Ogden', 'type': 'artist', 'uri': 'spotify:artist:2Q1d40J0u4IWGg4oZNPBZ7'}]",LPFA
7,You Didn't Break It,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6hR5fuwetYvTHfea4EwHvl'}, 'href': 'https://api.spotify.com/v1/artists/6hR5fuwetYvTHfea4EwHvl', 'id': '6hR5fuwetYvTHfea4EwHvl', 'name': 'Mark Barlow', 'type': 'artist', 'uri': 'spotify:artist:6hR5fuwetYvTHfea4EwHvl'}]",LPSE
8,QUIET (Stripped) [Morning & Evening],"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3YCKuqpv9nCsIhJ2v8SMix'}, 'href': 'https://api.spotify.com/v1/artists/3YCKuqpv9nCsIhJ2v8SMix', 'id': '3YCKuqpv9nCsIhJ2v8SMix', 'name': 'Elevation Worship', 'type': 'artist', 'uri': 'spotify:artist:3YCKuqpv9nCsIhJ2v8SMix'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0qZ8aSF0iMCQI99AAXikF8'}, 'href': 'https://api.spotify.com/v1/artists/0qZ8aSF0iMCQI99AAXikF8', 'id': '0qZ8aSF0iMCQI99AAXikF8', 'name': 'ELEVATION RHYTHM', 'type': 'artist', 'uri': 'spotify:artist:0qZ8aSF0iMCQI99AAXikF8'}]",LPSA
9,"Sunday Morning (feat. Harolddd, Tamar Braxton, Lecrae & Mav City Gospel Choir)","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/58r1rB5t3VF5X6yXGPequV'}, 'href': 'https://api.spotify.com/v1/artists/58r1rB5t3VF5X6yXGPequV', 'id': '58r1rB5t3VF5X6yXGPequV', 'name': 'Maverick City Music', 'type': 'artist', 'uri': 'spotify:artist:58r1rB5t3VF5X6yXGPequV'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1CFCsEqKrCyvAFKOATQHiW'}, 'href': 'https://api.spotify.com/v1/artists/1CFCsEqKrCyvAFKOATQHiW', 'id': '1CFCsEqKrCyvAFKOATQHiW', 'name': 'Lecrae', 'type': 'artist', 'uri': 'spotify:artist:1CFCsEqKrCyvAFKOATQHiW'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/44av3ir0vktBzXpTjnuR7V'}, 'href': 'https://api.spotify.com/v1/artists/44av3ir0vktBzXpTjnuR7V', 'id': '44av3ir0vktBzXpTjnuR7V', 'name': 'Harolddd', 'type': 'artist', 'uri': 'spotify:artist:44av3ir0vktBzXpTjnuR7V'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1MT1Wz4G9Z9EVOg4L5zZMS'}, 'href': 'https://api.spotify.com/v1/artists/1MT1Wz4G9Z9EVOg4L5zZMS', 'id': '1MT1Wz4G9Z9EVOg4L5zZMS', 'name': 'Tamar Braxton', 'type': 'artist', 'uri': 'spotify:artist:1MT1Wz4G9Z9EVOg4L5zZMS'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4h77nHXzQBpUySMOwo5UgD'}, 'href': 'https://api.spotify.com/v1/artists/4h77nHXzQBpUySMOwo5UgD', 'id': '4h77nHXzQBpUySMOwo5UgD', 'name': 'Mav City Gospel Choir', 'type': 'artist', 'uri': 'spotify:artist:4h77nHXzQBpUySMOwo5UgD'}]",LPSA
10,Too Good to Let Go,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0q8s2UD3GPKFfYuXWbvRVo'}, 'href': 'https://api.spotify.com/v1/artists/0q8s2UD3GPKFfYuXWbvRVo', 'id': '0q8s2UD3GPKFfYuXWbvRVo', 'name': 'Ri-An', 'type': 'artist', 'uri': 'spotify:artist:0q8s2UD3GPKFfYuXWbvRVo'}]",HPFE
11,Signs and Traces,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6L0mxhIWyV5ySKJvWrD70h'}, 'href': 'https://api.spotify.com/v1/artists/6L0mxhIWyV5ySKJvWrD70h', 'id': '6L0mxhIWyV5ySKJvWrD70h', 'name': 'Tim Be Told', 'type': 'artist', 'uri': 'spotify:artist:6L0mxhIWyV5ySKJvWrD70h'}]",LPSA
12,Do Your Thing,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4mkGZGaUTIpyG1LnZ6nNIi'}, 'href': 'https://api.spotify.com/v1/artists/4mkGZGaUTIpyG1LnZ6nNIi', 'id': '4mkGZGaUTIpyG1LnZ6nNIi', 'name': 'Peter CottonTale', 'type': 'artist', 'uri': 'spotify:artist:4mkGZGaUTIpyG1LnZ6nNIi'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1prLPKsx9wD59RbM4PJUo6'}, 'href': 'https://api.spotify.com/v1/artists/1prLPKsx9wD59RbM4PJUo6', 'id': '1prLPKsx9wD59RbM4PJUo6', 'name': 'Reeseynem', 'type': 'artist', 'uri': 'spotify:artist:1prLPKsx9wD59RbM4PJUo6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/245CRwGNgdSkkwUo10Xpre'}, 'href': 'https://api.spotify.com/v1/artists/245CRwGNgdSkkwUo10Xpre', 'id': '245CRwGNgdSkkwUo10Xpre', 'name': 'Lil Rel Howery', 'type': 'artist', 'uri': 'spotify:artist:245CRwGNgdSkkwUo10Xpre'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/61677A13kBwbTfqECI65p8'}, 'href': 'https://api.spotify.com/v1/artists/61677A13kBwbTfqECI65p8', 'id': '61677A13kBwbTfqECI65p8', 'name': 'DIXSON', 'type': 'artist', 'uri': 'spotify:artist:61677A13kBwbTfqECI65p8'}]",HPFE
13,Sunrise,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6cbdCv0bmLwcxSVFM7tuyG'}, 'href': 'https://api.spotify.com/v1/artists/6cbdCv0bmLwcxSVFM7tuyG', 'id': '6cbdCv0bmLwcxSVFM7tuyG', 'name': 'John Mark Pantana', 'type': 'artist', 'uri': 'spotify:artist:6cbdCv0bmLwcxSVFM7tuyG'}]",HPSA
14,Never Get Used to It,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6hR5fuwetYvTHfea4EwHvl'}, 'href': 'https://api.spotify.com/v1/artists/6hR5fuwetYvTHfea4EwHvl', 'id': '6hR5fuwetYvTHfea4EwHvl', 'name': 'Mark Barlow', 'type': 'artist', 'uri': 'spotify:artist:6hR5fuwetYvTHfea4EwHvl'}]",HPSE
15,Imposter (WAKE UP),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5bUZA6A9fh1mx9APanxlbl'}, 'href': 'https://api.spotify.com/v1/artists/5bUZA6A9fh1mx9APanxlbl', 'id': '5bUZA6A9fh1mx9APanxlbl', 'name': 'John Jin Han', 'type': 'artist', 'uri': 'spotify:artist:5bUZA6A9fh1mx9APanxlbl'}]",LNFE
16,Find a Way Back,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4gDtM0cEMlbycjAF7wtF3w'}, 'href': 'https://api.spotify.com/v1/artists/4gDtM0cEMlbycjAF7wtF3w', 'id': '4gDtM0cEMlbycjAF7wtF3w', 'name': 'South of Royal', 'type': 'artist', 'uri': 'spotify:artist:4gDtM0cEMlbycjAF7wtF3w'}]",HNFE
17,Eyes Only for You,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5nvWOyAkfNgVLKESq4fOj2'}, 'href': 'https://api.spotify.com/v1/artists/5nvWOyAkfNgVLKESq4fOj2', 'id': '5nvWOyAkfNgVLKESq4fOj2', 'name': 'Montell Fish', 'type': 'artist', 'uri': 'spotify:artist:5nvWOyAkfNgVLKESq4fOj2'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6yuXGldP2yeZ8GFNrZdlSC'}, 'href': 'https://api.spotify.com/v1/artists/6yuXGldP2yeZ8GFNrZdlSC', 'id': '6yuXGldP2yeZ8GFNrZdlSC', 'name': 'Ecclesia', 'type': 'artist', 'uri': 'spotify:artist:6yuXGldP2yeZ8GFNrZdlSC'}]",HPFE
18,No Time for Shame,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/34vEpj4qI07ROyQSkw41II'}, 'href': 'https://api.spotify.com/v1/artists/34vEpj4qI07ROyQSkw41II', 'id': '34vEpj4qI07ROyQSkw41II', 'name': 'Ethan C. Davis', 'type': 'artist', 'uri': 'spotify:artist:34vEpj4qI07ROyQSkw41II'}]",LPFA
19,Morning Song (Give Me Jesus),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1FYE37rOHOrxO1lHAQUkCl'}, 'href': 'https://api.spotify.com/v1/artists/1FYE37rOHOrxO1lHAQUkCl', 'id': '1FYE37rOHOrxO1lHAQUkCl', 'name': 'Antoine Bradford', 'type': 'artist', 'uri': 'spotify:artist:1FYE37rOHOrxO1lHAQUkCl'}]",LPFA
20,Face to Face,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6hR5fuwetYvTHfea4EwHvl'}, 'href': 'https://api.spotify.com/v1/artists/6hR5fuwetYvTHfea4EwHvl', 'id': '6hR5fuwetYvTHfea4EwHvl', 'name': 'Mark Barlow', 'type': 'artist', 'uri': 'spotify:artist:6hR5fuwetYvTHfea4EwHvl'}]",HPSA
21,All for a Moment,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2x0s47HVbzldiUL5WWjCI5'}, 'href': 'https://api.spotify.com/v1/artists/2x0s47HVbzldiUL5WWjCI5', 'id': '2x0s47HVbzldiUL5WWjCI5', 'name': 'Sangary Brothers', 'type': 'artist', 'uri': 'spotify:artist:2x0s47HVbzldiUL5WWjCI5'}]",LPFE
22,Heavenly,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5dQsQyRyYQAXhnbaCMDhOl'}, 'href': 'https://api.spotify.com/v1/artists/5dQsQyRyYQAXhnbaCMDhOl', 'id': '5dQsQyRyYQAXhnbaCMDhOl', 'name': 'Kristen Hicks', 'type': 'artist', 'uri': 'spotify:artist:5dQsQyRyYQAXhnbaCMDhOl'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2x0s47HVbzldiUL5WWjCI5'}, 'href': 'https://api.spotify.com/v1/artists/2x0s47HVbzldiUL5WWjCI5', 'id': '2x0s47HVbzldiUL5WWjCI5', 'name': 'Sangary Brothers', 'type': 'artist', 'uri': 'spotify:artist:2x0s47HVbzldiUL5WWjCI5'}]",HPFA
23,Dumber,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1am9EW2QubqpkCbg29vu5n'}, 'href': 'https://api.spotify.com/v1/artists/1am9EW2QubqpkCbg29vu5n', 'id': '1am9EW2QubqpkCbg29vu5n', 'name': 'Emily Weisband', 'type': 'artist', 'uri': 'spotify:artist:1am9EW2QubqpkCbg29vu5n'}]",LPFE
24,Carolina,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4NuiDXtUaaclXGNEPQYBBx'}, 'href': 'https://api.spotify.com/v1/artists/4NuiDXtUaaclXGNEPQYBBx', 'id': '4NuiDXtUaaclXGNEPQYBBx', 'name': 'Young Mister', 'type': 'artist', 'uri': 'spotify:artist:4NuiDXtUaaclXGNEPQYBBx'}]",HPFE
25,Gardena,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/29Wvrc4vfXuf9eMexefk7N'}, 'href': 'https://api.spotify.com/v1/artists/29Wvrc4vfXuf9eMexefk7N', 'id': '29Wvrc4vfXuf9eMexefk7N', 'name': 'Prince of Eden', 'type': 'artist', 'uri': 'spotify:artist:29Wvrc4vfXuf9eMexefk7N'}]",LPFA
26,Think for Yourself,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/58bPSgeKpyyFlJ9LatULIO'}, 'href': 'https://api.spotify.com/v1/artists/58bPSgeKpyyFlJ9LatULIO', 'id': '58bPSgeKpyyFlJ9LatULIO', 'name': 'HARBOUR', 'type': 'artist', 'uri': 'spotify:artist:58bPSgeKpyyFlJ9LatULIO'}]",LPSA
27,Interlude,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4dWtsQvuME6tCWFycaTvO7'}, 'href': 'https://api.spotify.com/v1/artists/4dWtsQvuME6tCWFycaTvO7', 'id': '4dWtsQvuME6tCWFycaTvO7', 'name': 'The Brook & The Bluff', 'type': 'artist', 'uri': 'spotify:artist:4dWtsQvuME6tCWFycaTvO7'}]",HPSA
28,Samson,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/29Wvrc4vfXuf9eMexefk7N'}, 'href': 'https://api.spotify.com/v1/artists/29Wvrc4vfXuf9eMexefk7N', 'id': '29Wvrc4vfXuf9eMexefk7N', 'name': 'Prince of Eden', 'type': 'artist', 'uri': 'spotify:artist:29Wvrc4vfXuf9eMexefk7N'}]",HNFE
29,In Too Deep (feat. Kiana Ledé) – Acoustic,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0QWrMNukfcVOmgEU0FEDyD'}, 'href': 'https://api.spotify.com/v1/artists/0QWrMNukfcVOmgEU0FEDyD', 'id': '0QWrMNukfcVOmgEU0FEDyD', 'name': 'Jacob Collier', 'type': 'artist', 'uri': 'spotify:artist:0QWrMNukfcVOmgEU0FEDyD'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7jZMxhsB8djyIbYmoiJSTs'}, 'href': 'https://api.spotify.com/v1/artists/7jZMxhsB8djyIbYmoiJSTs', 'id': '7jZMxhsB8djyIbYmoiJSTs', 'name': 'Kiana Ledé', 'type': 'artist', 'uri': 'spotify:artist:7jZMxhsB8djyIbYmoiJSTs'}]",LPFA
30,Pokemon In NYC,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5BYcwjrQth7em7maAt0yKE'}, 'href': 'https://api.spotify.com/v1/artists/5BYcwjrQth7em7maAt0yKE', 'id': '5BYcwjrQth7em7maAt0yKE', 'name': 'Andrew Applepie', 'type': 'artist', 'uri': 'spotify:artist:5BYcwjrQth7em7maAt0yKE'}]",HPSE
31,Snow / Kids,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5V46QXboFTCK5MP40SwVRK'}, 'href': 'https://api.spotify.com/v1/artists/5V46QXboFTCK5MP40SwVRK', 'id': '5V46QXboFTCK5MP40SwVRK', 'name': 'The Hip Abduction', 'type': 'artist', 'uri': 'spotify:artist:5V46QXboFTCK5MP40SwVRK'}]",HPFE
32,Cosmic Dolphin,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1ng3xz2dyz57Z1WpnzM2G7'}, 'href': 'https://api.spotify.com/v1/artists/1ng3xz2dyz57Z1WpnzM2G7', 'id': '1ng3xz2dyz57Z1WpnzM2G7', 'name': 'Pogo', 'type': 'artist', 'uri': 'spotify:artist:1ng3xz2dyz57Z1WpnzM2G7'}]",HPFA
33,Go,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4XNEA2zwGthyCOdS9znQGd'}, 'href': 'https://api.spotify.com/v1/artists/4XNEA2zwGthyCOdS9znQGd', 'id': '4XNEA2zwGthyCOdS9znQGd', 'name': 'Vocal Few', 'type': 'artist', 'uri': 'spotify:artist:4XNEA2zwGthyCOdS9znQGd'}]",HNFA
34,Who Cares (feat. Ben Bannister),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5GoLHATtGcyqwnLMmDRnch'}, 'href': 'https://api.spotify.com/v1/artists/5GoLHATtGcyqwnLMmDRnch', 'id': '5GoLHATtGcyqwnLMmDRnch', 'name': 'Carly Bannister', 'type': 'artist', 'uri': 'spotify:artist:5GoLHATtGcyqwnLMmDRnch'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4LpW6IwhGFRqmxWmlxyY4D'}, 'href': 'https://api.spotify.com/v1/artists/4LpW6IwhGFRqmxWmlxyY4D', 'id': '4LpW6IwhGFRqmxWmlxyY4D', 'name': 'Ben Bannister', 'type': 'artist', 'uri': 'spotify:artist:4LpW6IwhGFRqmxWmlxyY4D'}]",LPFA
35,Better,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2jKlK6gsKyZDItyVP36II2'}, 'href': 'https://api.spotify.com/v1/artists/2jKlK6gsKyZDItyVP36II2', 'id': '2jKlK6gsKyZDItyVP36II2', 'name': 'Mike Donehey', 'type': 'artist', 'uri': 'spotify:artist:2jKlK6gsKyZDItyVP36II2'}]",LPFA
36,Heavenly Father,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3mXcNgD2MC7GIMvIoefa4T'}, 'href': 'https://api.spotify.com/v1/artists/3mXcNgD2MC7GIMvIoefa4T', 'id': '3mXcNgD2MC7GIMvIoefa4T', 'name': 'Twisted Measure', 'type': 'artist', 'uri': 'spotify:artist:3mXcNgD2MC7GIMvIoefa4T'}]",LPSA
